,Geography,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units
0,Albany,1/6/2020,Conventional,1.155100335,167892.25,3737,140642.19,184.16,10996.65
1,Albany,1/12/2020,Conventional,1.22760888,122546.59,3649.24,90717.11,203.78,16359.88
2,Albany,1/19/2020,Conventional,1.088107221,146447.04,5057.86,108635.2,306.59,15879.12
3,Albany,1/26/2020,Conventional,1.160866356,114164.66,4124.56,72571.73,270.72,21273.86
4,Albany,2/2/2020,Conventional,1.251056884,193702.97,4933.07,156256.79,215.29,17313.74
5,Albany,2/9/2020,Conventional,1.182923141,121549.99,4385.86,83521.42,112.53,15897.54
6,Albany,2/16/2020,Conventional,1.219410872,107324.79,4501.3,69443.44,116.05,14938.31
7,Albany,2/23/2020,Conventional,1.343168053,129595.77,4297.94,94323.17,118.28,15227.58
8,Albany,3/1/2020,Conventional,1.292302301,109645.68,10324.34,69489.98,77.75,16112.18
9,Albany,3/8/2020,Conventional,1.265653188,147574.18,7035.64,99396.14,107.65,22099.25
10,Albany,3/15/2020,Conventional,1.275168717,147547.06,12355.25,87227.77,112.61,24600.09
11,Albany,3/22/2020,Conventional,1.345303891,173604.91,12378.23,113326.8,192.78,27089.14
12,Albany,3/29/2020,Conventional,1.143093153,149613.99,21796.91,94668.78,196.87,18231.5
13,Albany,4/5/2020,Conventional,1.259301549,134644.25,16374.94,78938.31,202.58,22103.68
14,Albany,4/12/2020,Conventional,1.443246076,137349.43,17859.96,85132.72,200.09,23083.57
15,Albany,4/19/2020,Conventional,1.454467131,129452.13,10285.29,82570.03,182.97,19056.38
16,Albany,4/26/2020,Conventional,1.523867411,172380.85,9975.95,122140.4,126.71,20876.51
17,Albany,5/3/2020,Conventional,1.469798646,159608.71,9516.93,104621.13,265.62,21644.16
18,Albany,5/10/2020,Conventional,1.32060167,198411.89,11783.77,139712.07,232.47,23057.54
19,Albany,5/17/2020,Conventional,1.522925008,167714.27,9215.86,112819.39,192.78,21634
20,Albany,5/24/2020,Conventional,1.46520653,169487.79,9724.78,109421.12,279.03,24257.65
21,Albany,5/31/2020,Conventional,1.532191213,194454.79,10931.81,140762.3,309.24,21831.46
22,Albany,6/7/2020,Conventional,1.435383002,154653.48,9409.95,101987.48,192.78,24912.7
23,Albany,6/14/2020,Conventional,1.367060182,209868.88,10239.42,154286.78,494.8,23645.07
24,Albany,6/21/2020,Conventional,1.490540424,147673.77,10158.75,101629.3,302.25,21430.67
25,Albany,6/28/2020,Conventional,1.54168596,154011.55,10397.48,114190.76,254.14,20071.58
26,Albany,7/5/2020,Conventional,1.433643703,149120.13,10223.7,107173.61,341.22,26043.54
27,Albany,7/12/2020,Conventional,1.522719361,144894.64,6708.1,105628.68,338.27,26141.05
28,Albany,7/19/2020,Conventional,1.338973144,139106.04,8983.93,92284.57,419.66,30722.78
29,Albany,7/26/2020,Conventional,1.394884918,167233.01,8398.77,111173.06,199.13,39174.95
30,Albany,8/2/2020,Conventional,1.183396016,151161.48,7694.9,94214.9,189.29,45028.92
31,Albany,8/9/2020,Conventional,1.001741708,153380.05,10942.78,104697.48,320.75,34059.2
32,Albany,8/16/2020,Conventional,1.358984041,164375.03,8317,115801.25,363.85,30213
33,Albany,8/23/2020,Conventional,1.128180621,123576.38,10552.5,81664.36,354.54,22242.3
34,Albany,8/30/2020,Conventional,1.042628866,140125,8923.81,102863.79,247.83,18731.63
35,Albany,9/6/2020,Conventional,1.353883982,128955.53,8094.03,89700.13,112.45,21593.79
36,Albany,9/13/2020,Conventional,1.056936568,116376.66,6390.65,78652.51,119.07,24800.19
37,Albany,9/20/2020,Conventional,1.061934979,129410.35,6925.76,89135.45,103.3,20077.22
38,Albany,9/27/2020,Conventional,1.385493165,127871.24,6016.44,94747.85,114.51,20199.27
39,Albany,10/4/2020,Conventional,1.265458877,110914.4,6545.28,74937.27,98.67,21171.36
40,Albany,10/11/2020,Conventional,1.32017606,120291.86,5790.31,85707.36,41.58,19358.43
41,Albany,10/18/2020,Conventional,1.087752878,111646.54,5720.02,77890.21,9.1,16583.35
42,Albany,10/25/2020,Conventional,1.219199776,131359.9,5813.68,100094.51,19.94,15171.19
43,Albany,11/1/2020,Conventional,1.407304835,124239.45,6178.33,90732.19,1.89,15334.44
44,Albany,11/8/2020,Conventional,1.240652579,107094.51,4101.62,80446.5,25.04,16431.69
45,Albany,11/15/2020,Conventional,1.389898332,133862.57,6319.43,98781.79,42.67,17761.49
46,Albany,11/22/2020,Conventional,0.945943641,133575.29,6197.15,98539.65,29.37,19322.52
47,Albany,11/29/2020,Conventional,0.950167657,99815.44,5233.72,71132.04,29.3,15544.55
48,Albany,12/6/2020,Conventional,1.312320903,129499.5,6292.22,89332.5,31.99,22188.97
49,Albany,12/13/2020,Conventional,0.965636694,128021.68,5643.87,91315.5,72.6,19638.14
50,Albany,12/20/2020,Conventional,1.246676529,105546.3,6266.37,73312.73,25.52,18334.6
51,Albany,12/27/2020,Conventional,1.081859049,97064.64,5808.19,66094.46,22.68,18188.13
52,Atlanta,1/6/2020,Conventional,0.941879812,990870.71,314827.55,31986.58,2757.78,88049.73
53,Atlanta,1/12/2020,Conventional,0.932356941,1020418.34,329534.02,32341.84,2497.81,101508.88
54,Atlanta,1/19/2020,Conventional,0.932959644,1008236.79,337285.47,29918.72,3425.56,105447.93
55,Atlanta,1/26/2020,Conventional,0.985377836,961392.96,342342.19,30393.58,2621.84,112727.19
56,Atlanta,2/2/2020,Conventional,0.926747147,1184991.06,385352.95,57863.49,717.52,115733.17
57,Atlanta,2/9/2020,Conventional,0.999285201,997470.13,292678.71,57282.63,128.68,115626.76
58,Atlanta,2/16/2020,Conventional,0.958697726,918573.67,257305.38,42764.98,45.3,110846.56
59,Atlanta,2/23/2020,Conventional,0.963223543,921160.72,290050.27,30049.42,75.83,119000.11
60,Atlanta,3/1/2020,Conventional,1.098550642,881472.01,274732.87,26174.19,63.33,116079.2
61,Atlanta,3/8/2020,Conventional,1.128772634,953004.07,300107.24,25059.97,73.68,119037.35
62,Atlanta,3/15/2020,Conventional,1.115267902,1169138.93,374096.26,28536.4,93.98,158244.52
63,Atlanta,3/22/2020,Conventional,1.080955168,1087232.09,358846.63,28282.2,73.17,128678.56
64,Atlanta,3/29/2020,Conventional,1.137873618,1077429.52,368720.68,27546.41,113.14,136847.27
65,Atlanta,4/5/2020,Conventional,1.128764737,1202395.22,425642.37,24682.94,129.47,161681.34
66,Atlanta,4/12/2020,Conventional,1.143417505,1027718.77,359188.37,30784.86,90.53,129732.53
67,Atlanta,4/19/2020,Conventional,1.134734476,1104405.81,388226.91,27121.19,85.53,144067.5
68,Atlanta,4/26/2020,Conventional,1.148249505,1119561.84,388632.07,25482.27,62.04,143702.7
69,Atlanta,5/3/2020,Conventional,1.055654464,1332889.89,495021.66,27014.12,770.93,163518.21
70,Atlanta,5/10/2020,Conventional,1.102573562,1189191.03,389992.74,23367.75,152.7,170155.54
71,Atlanta,5/17/2020,Conventional,1.089320912,1174899.55,405435.16,23101.95,105.75,159646.91
72,Atlanta,5/24/2020,Conventional,1.026775002,1259068.69,450701.73,25982.32,98.92,155092.24
73,Atlanta,5/31/2020,Conventional,1.110756344,1094521.53,387222.51,25098.34,94.74,164662.07
74,Atlanta,6/7/2020,Conventional,1.076056505,1106033.68,365791.47,24328.79,55.58,164635.87
75,Atlanta,6/14/2020,Conventional,0.962689717,1205610.97,368107.58,21029.77,64.49,180695.09
76,Atlanta,6/21/2020,Conventional,0.962069823,1185219.95,339279.92,21453.77,35.33,176546.51
77,Atlanta,6/28/2020,Conventional,1.005184113,1102686.44,324053.28,22113.66,47.39,166950.91
78,Atlanta,7/5/2020,Conventional,0.995396355,1163313.25,362703.34,24331.01,87.99,174173.21
79,Atlanta,7/12/2020,Conventional,0.926173596,1113369.89,329755.09,26615.19,68.62,162091.61
80,Atlanta,7/19/2020,Conventional,0.924128874,1168441.95,349388.08,39166.41,96.96,177015.71
81,Atlanta,7/26/2020,Conventional,0.908798295,1215393.67,383972.33,29490.7,123.71,173547.94
82,Atlanta,8/2/2020,Conventional,0.897147303,1180619.35,364290.37,25295.23,61.03,164625.07
83,Atlanta,8/9/2020,Conventional,0.905258768,1168270.54,367396.82,25494.72,137.19,166250.57
84,Atlanta,8/16/2020,Conventional,0.867855796,1082275.77,328557.65,22263.53,262.07,169185.61
85,Atlanta,8/23/2020,Conventional,0.855865706,1144043.4,338090.29,21018.16,350.35,172858.01
86,Atlanta,8/30/2020,Conventional,0.844163233,1164590.9,319111.14,23027.88,107.17,193389.33
87,Atlanta,9/6/2020,Conventional,0.864157335,1180118.8,357375.71,22101.5,135.95,159434.57
88,Atlanta,9/13/2020,Conventional,0.864652382,1124136.74,338801.85,20712.7,49.87,165517.78
89,Atlanta,9/20/2020,Conventional,0.816766472,1093376.23,315837.44,18443.25,65.86,181306.14
90,Atlanta,9/27/2020,Conventional,0.827205509,1116055.97,337162.48,23262.59,74.36,152538.23
91,Atlanta,10/4/2020,Conventional,0.845669299,1064895.38,326622.33,26747.5,868.3,152070.68
92,Atlanta,10/11/2020,Conventional,0.840618785,1038489.06,305162.32,23369.43,385.36,159955.41
93,Atlanta,10/18/2020,Conventional,0.827639211,1092946.22,325136.89,20101.05,46.31,162189.03
94,Atlanta,10/25/2020,Conventional,0.796996009,1093876.5,346360.62,19416.85,42.56,172281.52
95,Atlanta,11/1/2020,Conventional,0.835412347,1013670.23,298488.17,17691.59,23.25,178067.56
96,Atlanta,11/8/2020,Conventional,0.811670803,1062432.23,304280.33,17345.79,66.86,197909.95
97,Atlanta,11/15/2020,Conventional,0.81452497,999170.07,305090.26,19097.92,51.01,175763.59
98,Atlanta,11/22/2020,Conventional,0.829058561,891011.68,273012.7,21652.87,32.06,178238.55
99,Atlanta,11/29/2020,Conventional,0.772651298,842385.54,277172.23,20431.9,57.89,149312.59
100,Atlanta,12/6/2020,Conventional,0.856214059,914508.02,271038.28,28690.33,33.33,158114.3
101,Atlanta,12/13/2020,Conventional,0.818160449,900120.9,281532.96,25018.88,22.14,175459.85
102,Atlanta,12/20/2020,Conventional,0.854921427,891870.3,289969.62,26462.09,43.57,168318.88
103,Atlanta,12/27/2020,Conventional,0.800581766,820958.92,269384.79,23321.98,64.18,154683.8
104,Baltimore/Washington,1/6/2020,Conventional,1.194204178,975017.18,106374.09,461193.66,5850.88,247747.75
105,Baltimore/Washington,1/12/2020,Conventional,1.34791109,915812.36,86695.05,364817.44,4451.67,270011.48
106,Baltimore/Washington,1/19/2020,Conventional,1.301836743,1026935.73,107577.12,393155.86,4661.46,343749.37
107,Baltimore/Washington,1/26/2020,Conventional,1.275691441,1040126.31,95222.92,402895.59,5059.47,383493.14
108,Baltimore/Washington,2/2/2020,Conventional,1.197626574,1259413.26,125230.1,435524.87,3154.57,388107.84
109,Baltimore/Washington,2/9/2020,Conventional,1.144656269,1110945.26,109225.38,509841.09,1680.79,333429.6
110,Baltimore/Washington,2/16/2020,Conventional,1.389309795,893519.85,107597.17,357003.39,1520.04,271858.64
111,Baltimore/Washington,2/23/2020,Conventional,1.382522524,935809.72,110139.28,391401.41,1960.25,284778.53
112,Baltimore/Washington,3/1/2020,Conventional,1.341112131,1015559.08,113753.32,435802.26,4934.13,296915.85
113,Baltimore/Washington,3/8/2020,Conventional,1.504725906,970285.38,116066.79,385910.64,2013.56,282503.09
114,Baltimore/Washington,3/15/2020,Conventional,1.549752022,1164116.54,162840.84,397705.58,1509.63,378955.25
115,Baltimore/Washington,3/22/2020,Conventional,1.528051737,1193781.6,219240.96,404292.64,1233.87,386717.46
116,Baltimore/Washington,3/29/2020,Conventional,1.493941894,1178477.96,226326.9,392598.8,1489.47,346881.52
117,Baltimore/Washington,4/5/2020,Conventional,1.29016678,1301447.67,272524.74,442417.34,1620.52,374079.98
118,Baltimore/Washington,4/12/2020,Conventional,1.443541653,1244170.5,222501.96,387831.4,1984.53,419982.49
119,Baltimore/Washington,4/19/2020,Conventional,1.494894281,1175271.39,212342.68,375633.75,2279.08,403864.35
120,Baltimore/Washington,4/26/2020,Conventional,1.504856661,1238189.85,148366.84,502271.09,4093.22,395717.48
121,Baltimore/Washington,5/3/2020,Conventional,1.300864479,1481500.67,174565.23,511655.18,3722.95,559256.37
122,Baltimore/Washington,5/10/2020,Conventional,1.254167408,1448392.64,172599.86,631107.82,3373.96,461705.84
123,Baltimore/Washington,5/17/2020,Conventional,1.406257778,1212070.24,149952.08,450816.39,4059.49,437771.99
124,Baltimore/Washington,5/24/2020,Conventional,1.400937324,1277161.84,156160.76,463981.16,4033.28,469251.73
125,Baltimore/Washington,5/31/2020,Conventional,1.398422078,1252716.54,146540.83,475969.16,4052.28,442652.13
126,Baltimore/Washington,6/7/2020,Conventional,1.403027972,1233558.23,133367.37,457255.85,5204.69,443600.71
127,Baltimore/Washington,6/14/2020,Conventional,1.403809171,1230425.32,126532.06,441789.97,5491.33,449209.68
128,Baltimore/Washington,6/21/2020,Conventional,1.407925511,1189322.84,118587.1,424664.99,4312.46,442783.61
129,Baltimore/Washington,6/28/2020,Conventional,1.416741196,1139807.4,113573.1,412863.04,5372.6,412496.52
130,Baltimore/Washington,7/5/2020,Conventional,1.384753285,1202101.92,118327.06,431628.12,5017.64,443809.66
131,Baltimore/Washington,7/12/2020,Conventional,1.393146323,1094256.97,112580.34,401697.21,5215.23,394295.4
132,Baltimore/Washington,7/19/2020,Conventional,1.299839335,1142387.82,108023.4,408046.24,5568.21,451724.85
133,Baltimore/Washington,7/26/2020,Conventional,1.274428894,1086075.09,105771.53,387472.97,7739.36,419399.46
134,Baltimore/Washington,8/2/2020,Conventional,1.179186774,1172519.51,108536.05,393394.23,8140.51,500922.71
135,Baltimore/Washington,8/9/2020,Conventional,1.17837556,1125231.53,110413.39,422497.08,10932.61,451764.04
136,Baltimore/Washington,8/16/2020,Conventional,1.275722003,1014687.72,111981.55,351568.54,11659.49,412685.55
137,Baltimore/Washington,8/23/2020,Conventional,1.305617987,1015432.24,100142.93,351043.55,10624.23,420658.57
138,Baltimore/Washington,8/30/2020,Conventional,1.291221308,1033143.81,107062.04,351116.63,9217.27,396161.52
139,Baltimore/Washington,9/6/2020,Conventional,1.09938676,1132364.79,102402.46,417626.04,4379.41,443942.27
140,Baltimore/Washington,9/13/2020,Conventional,1.128114128,1101572.83,97226.18,378029.95,3218.65,473599.79
141,Baltimore/Washington,9/20/2020,Conventional,1.182235241,1022862.15,99822.95,397247.27,4369.06,357608.83
142,Baltimore/Washington,9/27/2020,Conventional,1.234835874,991469.79,97265.36,330463.59,2868.03,409082.51
143,Baltimore/Washington,10/4/2020,Conventional,1.219610221,984215.55,85092.27,322499.95,5631.06,419332.52
144,Baltimore/Washington,10/11/2020,Conventional,1.174083972,1036680.94,108839.4,345519.5,7570.79,326743.36
145,Baltimore/Washington,10/18/2020,Conventional,1.206198178,980824.03,144165.78,290640.71,8435.95,365485.56
146,Baltimore/Washington,10/25/2020,Conventional,1.220010204,918191.19,159577.66,282736.26,3707.44,313661.57
147,Baltimore/Washington,11/1/2020,Conventional,1.102584145,1078242.29,192310.83,300693.58,4185.48,304426.61
148,Baltimore/Washington,11/8/2020,Conventional,1.263200588,888418.78,146583.93,245882.35,3067.89,345414.29
149,Baltimore/Washington,11/15/2020,Conventional,1.219116778,968861.58,168413.86,275158.78,3819.87,359565.52
150,Baltimore/Washington,11/22/2020,Conventional,1.214633352,932098.33,138773.8,241279.22,3035.02,398095.83
151,Baltimore/Washington,11/29/2020,Conventional,1.292498967,788348.43,128518.29,216874.83,2469.48,295419.87
152,Baltimore/Washington,12/6/2020,Conventional,1.230845604,873252.42,147721.52,232361.95,3095.13,345921.03
153,Baltimore/Washington,12/13/2020,Conventional,1.112387971,1016438.62,186783.13,268092.34,3018.55,404581.7
154,Baltimore/Washington,12/20/2020,Conventional,1.252681232,892416.15,145198.96,237170.01,2790.7,355891.6
155,Baltimore/Washington,12/27/2020,Conventional,1.162939367,872075.64,143617.02,233429.33,3730.56,308832.89
156,Birmingham/Montgomery,1/6/2020,Conventional,0.890458144,387171.12,187738.34,9375.13,1428.84,49892.56
157,Birmingham/Montgomery,1/12/2020,Conventional,0.912017915,397129.68,186309.28,9250.49,1829.79,54900.7
158,Birmingham/Montgomery,1/19/2020,Conventional,0.906448158,388024.18,188567.82,7986.62,1915.29,52047.59
159,Birmingham/Montgomery,1/26/2020,Conventional,0.904463026,401299.69,212674.53,9407.35,1796.99,53797.78
160,Birmingham/Montgomery,2/2/2020,Conventional,0.893624119,467981.65,240941.9,12207.37,512.92,63208.44
161,Birmingham/Montgomery,2/9/2020,Conventional,0.943830003,362778.31,188365.77,8792.63,82.21,58179.14
162,Birmingham/Montgomery,2/16/2020,Conventional,0.940498678,335346.58,166858.63,8171.54,85.05,54727.79
163,Birmingham/Montgomery,2/23/2020,Conventional,0.973211663,349712.34,173171.39,6721.57,91.62,58623.66
164,Birmingham/Montgomery,3/1/2020,Conventional,1.057904919,359018.35,181628.39,7226.34,86,55669.3
165,Birmingham/Montgomery,3/8/2020,Conventional,1.064540209,359876.08,178912.97,6470.19,69.6,52936.15
166,Birmingham/Montgomery,3/15/2020,Conventional,1.053379149,415086.65,213197.65,8224.27,73.95,70328.22
167,Birmingham/Montgomery,3/22/2020,Conventional,1.020987519,408844.83,208965.74,7043.37,129.67,55783.82
168,Birmingham/Montgomery,3/29/2020,Conventional,1.088554369,383701.62,204740.48,5385.36,89.34,60493.69
169,Birmingham/Montgomery,4/5/2020,Conventional,1.061842711,431673.04,225217.01,10361.23,110.72,70132.93
170,Birmingham/Montgomery,4/12/2020,Conventional,1.084426776,378003.89,195545.33,11675.56,106.09,60145.92
171,Birmingham/Montgomery,4/19/2020,Conventional,1.072663361,398663.8,211411.35,15890.51,71.82,64893.98
172,Birmingham/Montgomery,4/26/2020,Conventional,1.066467001,417439.46,206337,13086.34,100.27,68699.6
173,Birmingham/Montgomery,5/3/2020,Conventional,1.02525758,512746.38,253897.02,22901.01,154.41,77580.91
174,Birmingham/Montgomery,5/10/2020,Conventional,1.107749555,448923.63,220817.07,12963.19,115.29,78832.51
175,Birmingham/Montgomery,5/17/2020,Conventional,1.136152328,426653.13,238586.88,12366.16,75.24,73209.05
176,Birmingham/Montgomery,5/24/2020,Conventional,1.02855735,484816.73,258443.83,12075.47,70.87,80899.52
177,Birmingham/Montgomery,5/31/2020,Conventional,1.126604607,422114.47,229442.4,10214.3,116.78,81145.62
178,Birmingham/Montgomery,6/7/2020,Conventional,1.11660949,413893.16,221761.7,10825.01,103.48,81975.79
179,Birmingham/Montgomery,6/14/2020,Conventional,1.106015079,420626.17,207478.37,9899.81,70.44,88467.95
180,Birmingham/Montgomery,6/21/2020,Conventional,1.075039988,424434.68,196595.09,10783.7,88.83,82056.8
181,Birmingham/Montgomery,6/28/2020,Conventional,1.015865387,431326.76,200134.98,9801.94,83.23,75411.62
182,Birmingham/Montgomery,7/5/2020,Conventional,0.994099009,467204.36,215601.79,10423.64,85.69,88249.65
183,Birmingham/Montgomery,7/12/2020,Conventional,1.023422301,398723.25,172658.92,9308.42,138.82,85812.9
184,Birmingham/Montgomery,7/19/2020,Conventional,0.94106213,440587.99,183707.24,17807.46,118.34,95696.83
185,Birmingham/Montgomery,7/26/2020,Conventional,0.907598311,440627.07,196995.01,16756.04,134.19,91657.69
186,Birmingham/Montgomery,8/2/2020,Conventional,0.912930558,415760.19,193258.1,10431.86,184.28,89895.23
187,Birmingham/Montgomery,8/9/2020,Conventional,0.901899393,431025.68,195199.92,10567.4,126.85,88635.39
188,Birmingham/Montgomery,8/16/2020,Conventional,0.90285455,402266.93,175775.63,10429.87,157.09,86590
189,Birmingham/Montgomery,8/23/2020,Conventional,0.911059078,418491.94,182490.54,11442.18,222.41,90149.75
190,Birmingham/Montgomery,8/30/2020,Conventional,0.896703127,408374.04,168867.63,12320.27,85.92,95965.9
191,Birmingham/Montgomery,9/6/2020,Conventional,0.882038959,464440.14,214132.66,10675.17,61.49,84163.72
192,Birmingham/Montgomery,9/13/2020,Conventional,0.884154344,435590,194894.1,9300.12,70.14,79089.14
193,Birmingham/Montgomery,9/20/2020,Conventional,0.899519664,383987.03,170500.12,9293.13,51.03,86087.16
194,Birmingham/Montgomery,9/27/2020,Conventional,0.867187205,401616.02,176051.97,10106.05,57.1,82284.07
195,Birmingham/Montgomery,10/4/2020,Conventional,0.867790732,392679.77,175015.41,10378.33,68.23,83885.03
196,Birmingham/Montgomery,10/11/2020,Conventional,0.906752935,369393.56,151602.35,10125.2,34.19,89345.37
197,Birmingham/Montgomery,10/18/2020,Conventional,0.842177703,393255.24,165999.84,10233.39,35.51,85076.84
198,Birmingham/Montgomery,10/25/2020,Conventional,0.775532334,403523.02,177087.55,9732.4,5.67,91284.63
199,Birmingham/Montgomery,11/1/2020,Conventional,0.833895967,365658.23,149782.33,8189.72,9.08,92581.09
200,Birmingham/Montgomery,11/8/2020,Conventional,0.81341307,359095.49,140938.66,9147.05,4.72,97690.31
201,Birmingham/Montgomery,11/15/2020,Conventional,0.819165289,358303.99,148129.49,7153.52,13.29,91747.11
202,Birmingham/Montgomery,11/22/2020,Conventional,0.793516039,337511.08,137040.52,7093.23,6.61,90285.66
203,Birmingham/Montgomery,11/29/2020,Conventional,0.713813066,315992.02,144016.43,5342.44,11.64,74303.68
204,Birmingham/Montgomery,12/6/2020,Conventional,0.783113097,337484.92,132179.15,6730.54,7.71,91799.54
205,Birmingham/Montgomery,12/13/2020,Conventional,0.760100831,345551.74,139676.42,7698.25,7.7,91729.02
206,Birmingham/Montgomery,12/20/2020,Conventional,0.788335772,336016.11,144870.05,6393.85,23.2,86883.7
207,Birmingham/Montgomery,12/27/2020,Conventional,0.726402554,320597.68,142228.13,6481.46,9.62,80671.61
208,Boise,1/6/2020,Conventional,1.172749954,160416.03,34274.34,7952.66,1666.38,14826.75
209,Boise,1/12/2020,Conventional,1.075423001,188370.73,39991.02,8395.99,1179.89,15697.97
210,Boise,1/19/2020,Conventional,0.965999459,198919.47,48776.61,4551.97,1085.25,16120.89
211,Boise,1/26/2020,Conventional,1.108693912,154903.13,41571.43,4793.22,1154.99,17096.82
212,Boise,2/2/2020,Conventional,0.972254278,207883.42,50583.81,6290.69,2807.06,16609.06
213,Boise,2/9/2020,Conventional,1.018544464,170572.27,52317.14,5161.89,1633.62,17274.92
214,Boise,2/16/2020,Conventional,1.140442087,153281.21,40419.55,4398.54,1025.22,16425.98
215,Boise,2/23/2020,Conventional,1.063722567,189000.95,39961.33,5913.37,1144.67,16065.71
216,Boise,3/1/2020,Conventional,1.1775569,171114.26,36219.87,5245.43,935.27,16107.89
217,Boise,3/8/2020,Conventional,1.194500894,182209.63,37735.47,4621.61,1028.98,18517.25
218,Boise,3/15/2020,Conventional,1.466396539,169985.81,36860.83,4759.26,1420.16,21929.35
219,Boise,3/22/2020,Conventional,1.23953294,198466.84,39104.14,6931.28,1158.18,17858.87
220,Boise,3/29/2020,Conventional,1.477501055,159957.75,37182.92,7371.57,1798.26,12741.45
221,Boise,4/5/2020,Conventional,1.351084219,166403.95,42287.56,7866.29,1617.57,16186.57
222,Boise,4/12/2020,Conventional,1.408468128,167189.6,41995.51,8238.53,1966.98,18374.46
223,Boise,4/19/2020,Conventional,1.554513343,152053.67,36002.77,7041.23,2512.09,15105.84
224,Boise,4/26/2020,Conventional,1.498618264,159862.06,33253.36,6522.37,2236.43,18800.21
225,Boise,5/3/2020,Conventional,1.35775083,213052.56,38620.01,10079.35,1860.2,18897.67
226,Boise,5/10/2020,Conventional,1.312235896,203370.11,42672.71,9808.93,1534.23,22889.14
227,Boise,5/17/2020,Conventional,1.350647423,180739.78,37054.86,7185.33,1433.86,20372.68
228,Boise,5/24/2020,Conventional,1.356137811,197524.7,34594.87,7419.86,1487.92,25309.09
229,Boise,5/31/2020,Conventional,1.370682236,185073.91,34009.46,8172.65,1493.03,24409.67
230,Boise,6/7/2020,Conventional,1.325158105,182595.92,34661.91,7600.17,1606.44,23754.89
231,Boise,6/14/2020,Conventional,1.269955882,196414.28,28766.7,9077.99,1700.37,23553.43
232,Boise,6/21/2020,Conventional,1.293305683,183426.32,30442.37,9371.85,1262.71,23288.19
233,Boise,6/28/2020,Conventional,1.25238584,188346.75,32697.33,6837.81,1211.03,24361.53
234,Boise,7/5/2020,Conventional,1.28066449,188252.3,37329.19,6803.93,1752.93,25488.53
235,Boise,7/12/2020,Conventional,1.095363693,208727.82,37151.8,8051.14,1340.2,22980.4
236,Boise,7/19/2020,Conventional,1.24025916,186024.71,34351.04,8077.06,1369.48,25882.41
237,Boise,7/26/2020,Conventional,1.082186197,207250.68,37288.71,7533.1,1228.42,26209.2
238,Boise,8/2/2020,Conventional,1.205346011,177470.01,31270.05,6855.02,2124.07,34348.69
239,Boise,8/9/2020,Conventional,1.221457081,174819.21,33091.94,8463.14,5058.39,28563.06
240,Boise,8/16/2020,Conventional,1.206017899,174605.1,34139.04,7691.01,1326.84,26397.53
241,Boise,8/23/2020,Conventional,1.21838089,167765.71,32839.69,6608.29,1317.06,27257.7
242,Boise,8/30/2020,Conventional,1.209795951,173329.4,29907.46,9278.83,1240.39,26504.95
243,Boise,9/6/2020,Conventional,1.169148536,174687.75,31996.08,8478.02,937.61,28831.85
244,Boise,9/13/2020,Conventional,1.176582038,164342.06,32425.87,6016.58,1086.2,27220.19
245,Boise,9/20/2020,Conventional,1.06713518,181209.21,37416.69,7923.29,914.89,26330.6
246,Boise,9/27/2020,Conventional,1.162834433,163649.53,35133.9,8138.07,817.04,26641.23
247,Boise,10/4/2020,Conventional,1.160382321,163899.62,36695.78,7996.53,926.04,27684.48
248,Boise,10/11/2020,Conventional,1.182838876,154598.58,37050.15,8127.63,824.43,24279.97
249,Boise,10/18/2020,Conventional,1.125614637,157762.9,34386.54,10009.13,876.77,21353.92
250,Boise,10/25/2020,Conventional,1.035022071,169242.32,32380.91,8731.48,820.8,21793.12
251,Boise,11/1/2020,Conventional,1.151533164,150759.92,32805.36,5678.9,1102.5,24574.24
252,Boise,11/8/2020,Conventional,1.12383503,157328.93,32002.74,9302.03,970.05,24471.63
253,Boise,11/15/2020,Conventional,1.079508965,153457.62,27462.22,11728.84,933.6,24585.47
254,Boise,11/22/2020,Conventional,1.150026015,135905.15,24857.05,10108.09,815.71,23711.78
255,Boise,11/29/2020,Conventional,1.063608099,139009.41,24714.41,5706.19,641.76,20283.14
256,Boise,12/6/2020,Conventional,0.984269051,163062.36,30136.99,9617.84,835.8,26077.27
257,Boise,12/13/2020,Conventional,0.917325323,163906.14,29972.15,9639.41,867.88,26595.9
258,Boise,12/20/2020,Conventional,1.106546114,130024.64,27831.03,8172.03,1075.1,25496.36
259,Boise,12/27/2020,Conventional,1.115194526,128295.47,27520.47,9177.91,1111.37,23253.66
260,Boston,1/6/2020,Conventional,1.28283728,723421.62,10061.07,421279.81,1414.44,98332.82
261,Boston,1/12/2020,Conventional,1.387027944,637899.65,12025.08,373917.61,1305.03,127666.29
262,Boston,1/19/2020,Conventional,1.318731883,727492.29,15410.58,404676.85,2323.55,135823.89
263,Boston,1/26/2020,Conventional,1.268919673,822542.69,13094.75,340775.06,1920.95,143856.41
264,Boston,2/2/2020,Conventional,1.300961924,751811.82,15886.24,472116.99,1196.14,147281.29
265,Boston,2/9/2020,Conventional,1.264516822,921682.43,16630.41,437889.98,674.64,124775.15
266,Boston,2/16/2020,Conventional,1.417062227,635832.8,15141.14,373312.25,604.03,109934.76
267,Boston,2/23/2020,Conventional,1.390939917,702864.85,18136.37,371023.76,801.43,109950.99
268,Boston,3/1/2020,Conventional,1.493935474,628753.69,21731.23,391901.39,603.37,118453
